Ente,Candidato,Liste/Gruppi,Voti lista,,
ARGUELLO,OSCAR FULVIO GIANNINO ARGUELLO,FARE PER FERMARE IL DECLINO,1,,
ARGUELLO,MARCO FERRANDO ARGUELLO,PARTITO COMUNISTA DEI LAVORATORI,1,,
ARGUELLO,ROBERTO FIORE ARGUELLO,FORZA NUOVA,0,,
ARGUELLO,SIMONE DI STEFANO ARGUELLO,CASAPOUND ITALIA,0,,
BAGNASCO,PIER LUIGI BERSANI BAGNASCO,PARTITO DEMOCRATICO,117,,
BAGNASCO,,SINISTRA ECOLOGIA LIBERTA',9,,
BAGNASCO,,CENTRO DEMOCRATICO,1,,
BAGNASCO,SILVIO BERLUSCONI BAGNASCO,IL POPOLO DELLA LIBERTA',88,,
BAGNASCO,,LEGA NORD,51,,
BAGNASCO,,FRATELLI D'ITALIA,12,,
BAGNASCO,,LA DESTRA,3,,
BAGNASCO,,PARTITO PENSIONATI,3,,
BAGNASCO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BAGNASCO,GIUSEPPE PIERO GRILLO BAGNASCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,145,,
BAGNASCO,MARIO MONTI BAGNASCO,CON MONTI PER L'ITALIA,70,,
BAGNASCO,ANTONIO INGROIA BAGNASCO,RIVOLUZIONE CIVILE,4,,
BAGNASCO,OSCAR FULVIO GIANNINO BAGNASCO,FARE PER FERMARE IL DECLINO,2,,
BAGNASCO,MARCO FERRANDO BAGNASCO,PARTITO COMUNISTA DEI LAVORATORI,0,,
BAGNASCO,ROBERTO FIORE BAGNASCO,FORZA NUOVA,3,,
BAGNASCO,SIMONE DI STEFANO BAGNASCO,CASAPOUND ITALIA,0,,
BAGNOLO PIEMONTE,PIER LUIGI BERSANI BAGNOLO PIEMONTE,PARTITO DEMOCRATICO,615,,
BAGNOLO PIEMONTE,,SINISTRA ECOLOGIA LIBERTA',45,,
BAGNOLO PIEMONTE,,CENTRO DEMOCRATICO,9,,
BAGNOLO PIEMONTE,SILVIO BERLUSCONI BAGNOLO PIEMONTE,IL POPOLO DELLA LIBERTA',767,,
BAGNOLO PIEMONTE,,LEGA NORD,243,,
BAGNOLO PIEMONTE,,FRATELLI D'ITALIA,155,,
BAGNOLO PIEMONTE,,PARTITO PENSIONATI,24,,
BAGNOLO PIEMONTE,,LA DESTRA,10,,
BAGNOLO PIEMONTE,,MIR - MODERATI IN RIVOLUZIONE,5,,
BAGNOLO PIEMONTE,GIUSEPPE PIERO GRILLO BAGNOLO PIEMONTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,640,,
BAGNOLO PIEMONTE,MARIO MONTI BAGNOLO PIEMONTE,CON MONTI PER L'ITALIA,353,,
BAGNOLO PIEMONTE,ANTONIO INGROIA BAGNOLO PIEMONTE,RIVOLUZIONE CIVILE,24,,
BAGNOLO PIEMONTE,OSCAR FULVIO GIANNINO BAGNOLO PIEMONTE,FARE PER FERMARE IL DECLINO,26,,
BAGNOLO PIEMONTE,MARCO FERRANDO BAGNOLO PIEMONTE,PARTITO COMUNISTA DEI LAVORATORI,13,,
BAGNOLO PIEMONTE,ROBERTO FIORE BAGNOLO PIEMONTE,FORZA NUOVA,7,,
BAGNOLO PIEMONTE,SIMONE DI STEFANO BAGNOLO PIEMONTE,CASAPOUND ITALIA,5,,
BALDISSERO D'ALBA,PIER LUIGI BERSANI BALDISSERO D'ALBA,PARTITO DEMOCRATICO,87,,
BALDISSERO D'ALBA,,SINISTRA ECOLOGIA LIBERTA',6,,
BALDISSERO D'ALBA,,CENTRO DEMOCRATICO,4,,
BALDISSERO D'ALBA,SILVIO BERLUSCONI BALDISSERO D'ALBA,IL POPOLO DELLA LIBERTA',157,,
BALDISSERO D'ALBA,,LEGA NORD,56,,
BALDISSERO D'ALBA,,FRATELLI D'ITALIA,35,,
BALDISSERO D'ALBA,,PARTITO PENSIONATI,2,,
BALDISSERO D'ALBA,,LA DESTRA,1,,
BALDISSERO D'ALBA,,MIR - MODERATI IN RIVOLUZIONE,0,,
BALDISSERO D'ALBA,GIUSEPPE PIERO GRILLO BALDISSERO D'ALBA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,168,,
BALDISSERO D'ALBA,MARIO MONTI BALDISSERO D'ALBA,CON MONTI PER L'ITALIA,64,,
BALDISSERO D'ALBA,ANTONIO INGROIA BALDISSERO D'ALBA,RIVOLUZIONE CIVILE,7,,
BALDISSERO D'ALBA,OSCAR FULVIO GIANNINO BALDISSERO D'ALBA,FARE PER FERMARE IL DECLINO,3,,
BALDISSERO D'ALBA,MARCO FERRANDO BALDISSERO D'ALBA,PARTITO COMUNISTA DEI LAVORATORI,0,,
BALDISSERO D'ALBA,ROBERTO FIORE BALDISSERO D'ALBA,FORZA NUOVA,0,,
BALDISSERO D'ALBA,SIMONE DI STEFANO BALDISSERO D'ALBA,CASAPOUND ITALIA,1,,
BARBARESCO,PIER LUIGI BERSANI BARBARESCO,PARTITO DEMOCRATICO,58,,
BARBARESCO,,SINISTRA ECOLOGIA LIBERTA',4,,
BARBARESCO,,CENTRO DEMOCRATICO,1,,
BARBARESCO,SILVIO BERLUSCONI BARBARESCO,IL POPOLO DELLA LIBERTA',54,,
BARBARESCO,,LEGA NORD,26,,
BARBARESCO,,FRATELLI D'ITALIA,18,,
BARBARESCO,,PARTITO PENSIONATI,4,,
BARBARESCO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BARBARESCO,,LA DESTRA,0,,
BARBARESCO,GIUSEPPE PIERO GRILLO BARBARESCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,109,,
BARBARESCO,MARIO MONTI BARBARESCO,CON MONTI PER L'ITALIA,71,,
BARBARESCO,ANTONIO INGROIA BARBARESCO,RIVOLUZIONE CIVILE,2,,
BARBARESCO,OSCAR FULVIO GIANNINO BARBARESCO,FARE PER FERMARE IL DECLINO,2,,
BARBARESCO,MARCO FERRANDO BARBARESCO,PARTITO COMUNISTA DEI LAVORATORI,1,,
BARBARESCO,ROBERTO FIORE BARBARESCO,FORZA NUOVA,1,,
BARBARESCO,SIMONE DI STEFANO BARBARESCO,CASAPOUND ITALIA,0,,
BARGE,PIER LUIGI BERSANI BARGE,PARTITO DEMOCRATICO,631,,
BARGE,,SINISTRA ECOLOGIA LIBERTA',61,,
BARGE,,CENTRO DEMOCRATICO,12,,
BARGE,SILVIO BERLUSCONI BARGE,IL POPOLO DELLA LIBERTA',1113,,
BARGE,,LEGA NORD,454,,
BARGE,,FRATELLI D'ITALIA,146,,
BARGE,,PARTITO PENSIONATI,46,,
BARGE,,LA DESTRA,17,,
BARGE,,MIR - MODERATI IN RIVOLUZIONE,6,,
BARGE,GIUSEPPE PIERO GRILLO BARGE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,751,,
BARGE,MARIO MONTI BARGE,CON MONTI PER L'ITALIA,446,,
BARGE,ANTONIO INGROIA BARGE,RIVOLUZIONE CIVILE,31,,
BARGE,OSCAR FULVIO GIANNINO BARGE,FARE PER FERMARE IL DECLINO,31,,
BARGE,MARCO FERRANDO BARGE,PARTITO COMUNISTA DEI LAVORATORI,14,,
BARGE,ROBERTO FIORE BARGE,FORZA NUOVA,5,,
BARGE,SIMONE DI STEFANO BARGE,CASAPOUND ITALIA,4,,
BAROLO,PIER LUIGI BERSANI BAROLO,PARTITO DEMOCRATICO,91,,
BAROLO,,SINISTRA ECOLOGIA LIBERTA',9,,
BAROLO,,CENTRO DEMOCRATICO,1,,
BAROLO,SILVIO BERLUSCONI BAROLO,IL POPOLO DELLA LIBERTA',78,,
BAROLO,,FRATELLI D'ITALIA,39,,
BAROLO,,LEGA NORD,24,,
BAROLO,,PARTITO PENSIONATI,2,,
BAROLO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BAROLO,,LA DESTRA,0,,
BAROLO,GIUSEPPE PIERO GRILLO BAROLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,82,,
BAROLO,MARIO MONTI BAROLO,CON MONTI PER L'ITALIA,60,,
BAROLO,ANTONIO INGROIA BAROLO,RIVOLUZIONE CIVILE,9,,
BAROLO,OSCAR FULVIO GIANNINO BAROLO,FARE PER FERMARE IL DECLINO,7,,
BAROLO,MARCO FERRANDO BAROLO,PARTITO COMUNISTA DEI LAVORATORI,2,,
BAROLO,ROBERTO FIORE BAROLO,FORZA NUOVA,1,,
BAROLO,SIMONE DI STEFANO BAROLO,CASAPOUND ITALIA,1,,
BASTIA MONDOVI',PIER LUIGI BERSANI BASTIA MONDOVI',PARTITO DEMOCRATICO,72,,
BASTIA MONDOVI',,SINISTRA ECOLOGIA LIBERTA',8,,
BASTIA MONDOVI',,CENTRO DEMOCRATICO,2,,
BASTIA MONDOVI',SILVIO BERLUSCONI BASTIA MONDOVI',IL POPOLO DELLA LIBERTA',60,,
BASTIA MONDOVI',,LEGA NORD,26,,
BASTIA MONDOVI',,FRATELLI D'ITALIA,23,,
BASTIA MONDOVI',,PARTITO PENSIONATI,6,,
BASTIA MONDOVI',,LA DESTRA,3,,
BASTIA MONDOVI',,MIR - MODERATI IN RIVOLUZIONE,2,,
BASTIA MONDOVI',GIUSEPPE PIERO GRILLO BASTIA MONDOVI',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,61,,
BASTIA MONDOVI',MARIO MONTI BASTIA MONDOVI',CON MONTI PER L'ITALIA,49,,
BASTIA MONDOVI',ANTONIO INGROIA BASTIA MONDOVI',RIVOLUZIONE CIVILE,2,,
BASTIA MONDOVI',OSCAR FULVIO GIANNINO BASTIA MONDOVI',FARE PER FERMARE IL DECLINO,4,,
BASTIA MONDOVI',MARCO FERRANDO BASTIA MONDOVI',PARTITO COMUNISTA DEI LAVORATORI,2,,
BASTIA MONDOVI',ROBERTO FIORE BASTIA MONDOVI',FORZA NUOVA,2,,
BASTIA MONDOVI',SIMONE DI STEFANO BASTIA MONDOVI',CASAPOUND ITALIA,0,,
BATTIFOLLO,PIER LUIGI BERSANI BATTIFOLLO,PARTITO DEMOCRATICO,49,,
BATTIFOLLO,,SINISTRA ECOLOGIA LIBERTA',2,,
BATTIFOLLO,,CENTRO DEMOCRATICO,0,,
BATTIFOLLO,SILVIO BERLUSCONI BATTIFOLLO,IL POPOLO DELLA LIBERTA',19,,
BATTIFOLLO,,LEGA NORD,10,,
BATTIFOLLO,,PARTITO PENSIONATI,1,,
BATTIFOLLO,,FRATELLI D'ITALIA,0,,
BATTIFOLLO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BATTIFOLLO,,LA DESTRA,0,,
BATTIFOLLO,GIUSEPPE PIERO GRILLO BATTIFOLLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,23,,
BATTIFOLLO,MARIO MONTI BATTIFOLLO,CON MONTI PER L'ITALIA,28,,
BATTIFOLLO,ANTONIO INGROIA BATTIFOLLO,RIVOLUZIONE CIVILE,1,,
BATTIFOLLO,OSCAR FULVIO GIANNINO BATTIFOLLO,FARE PER FERMARE IL DECLINO,0,,
BATTIFOLLO,MARCO FERRANDO BATTIFOLLO,PARTITO COMUNISTA DEI LAVORATORI,0,,
BATTIFOLLO,ROBERTO FIORE BATTIFOLLO,FORZA NUOVA,0,,
BATTIFOLLO,SIMONE DI STEFANO BATTIFOLLO,CASAPOUND ITALIA,1,,
BEINETTE,PIER LUIGI BERSANI BEINETTE,PARTITO DEMOCRATICO,392,,
BEINETTE,,SINISTRA ECOLOGIA LIBERTA',26,,
BEINETTE,,CENTRO DEMOCRATICO,4,,
BEINETTE,SILVIO BERLUSCONI BEINETTE,IL POPOLO DELLA LIBERTA',309,,
BEINETTE,,LEGA NORD,136,,
BEINETTE,,FRATELLI D'ITALIA,55,,
BEINETTE,,PARTITO PENSIONATI,34,,
BEINETTE,,LA DESTRA,7,,
BEINETTE,,MIR - MODERATI IN RIVOLUZIONE,5,,
BEINETTE,GIUSEPPE PIERO GRILLO BEINETTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,415,,
BEINETTE,MARIO MONTI BEINETTE,CON MONTI PER L'ITALIA,270,,
BEINETTE,ANTONIO INGROIA BEINETTE,RIVOLUZIONE CIVILE,22,,
