Ente,Candidato,Liste/Gruppi,Voti lista,,
BASTIDA PANCARANA,,BASTA TASSE,1,,
BASTIDA PANCARANA,GIUSEPPE PIERO GRILLO BASTIDA PANCARANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,95,,
BASTIDA PANCARANA,MARIO MONTI BASTIDA PANCARANA,CON MONTI PER L'ITALIA,43,,
BASTIDA PANCARANA,ANTONIO INGROIA BASTIDA PANCARANA,RIVOLUZIONE CIVILE,0,,
BASTIDA PANCARANA,OSCAR FULVIO GIANNINO BASTIDA PANCARANA,FARE PER FERMARE IL DECLINO,4,,
BASTIDA PANCARANA,MARCO FERRANDO BASTIDA PANCARANA,PARTITO COMUNISTA DEI LAVORATORI,3,,
BASTIDA PANCARANA,ROBERTO FIORE BASTIDA PANCARANA,FORZA NUOVA,1,,
BASTIDA PANCARANA,GIACINTO MARCO PANNELLA BASTIDA PANCARANA,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
BASTIDA PANCARANA,LUCA ROMAGNOLI BASTIDA PANCARANA,FIAMMA TRICOLORE,0,,
BASTIDA PANCARANA,MAGDI CRISTIANO ALLAM BASTIDA PANCARANA,IO AMO L'ITALIA,0,,
BASTIDA PANCARANA,SIMONE DI STEFANO BASTIDA PANCARANA,CASAPOUND ITALIA,0,,
BASTIDA PANCARANA,ENZO BOSIO BASTIDA PANCARANA,CIVILTA' RURALE SVILUPPO,0,,
BASTIDA PANCARANA,GIULIO ARRIGHINI BASTIDA PANCARANA,UNIONE PADANA,1,,
BASTIDA PANCARANA,MARCO MARSILI BASTIDA PANCARANA,I PIRATI,1,,
BATTUDA,PIER LUIGI BERSANI BATTUDA,PARTITO DEMOCRATICO,83,,
BATTUDA,,SINISTRA ECOLOGIA LIBERTA',9,,
BATTUDA,,CENTRO DEMOCRATICO,1,,
BATTUDA,,MODERATI,1,,
BATTUDA,SILVIO BERLUSCONI BATTUDA,IL POPOLO DELLA LIBERTA',82,,
BATTUDA,,LEGA NORD,24,,
BATTUDA,,FRATELLI D'ITALIA,5,,
BATTUDA,,BASTA TASSE,2,,
BATTUDA,,LA DESTRA,1,,
BATTUDA,,MIR - MODERATI IN RIVOLUZIONE,1,,
BATTUDA,,PARTITO PENSIONATI,1,,
BATTUDA,GIUSEPPE PIERO GRILLO BATTUDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,99,,
BATTUDA,MARIO MONTI BATTUDA,CON MONTI PER L'ITALIA,17,,
BATTUDA,ANTONIO INGROIA BATTUDA,RIVOLUZIONE CIVILE,3,,
BATTUDA,OSCAR FULVIO GIANNINO BATTUDA,FARE PER FERMARE IL DECLINO,4,,
BATTUDA,MARCO FERRANDO BATTUDA,PARTITO COMUNISTA DEI LAVORATORI,0,,
BATTUDA,ROBERTO FIORE BATTUDA,FORZA NUOVA,4,,
BATTUDA,GIACINTO MARCO PANNELLA BATTUDA,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BATTUDA,LUCA ROMAGNOLI BATTUDA,FIAMMA TRICOLORE,2,,
BATTUDA,MAGDI CRISTIANO ALLAM BATTUDA,IO AMO L'ITALIA,1,,
BATTUDA,SIMONE DI STEFANO BATTUDA,CASAPOUND ITALIA,0,,
BATTUDA,ENZO BOSIO BATTUDA,CIVILTA' RURALE SVILUPPO,0,,
BATTUDA,GIULIO ARRIGHINI BATTUDA,UNIONE PADANA,1,,
BATTUDA,MARCO MARSILI BATTUDA,I PIRATI,0,,
BELGIOIOSO,PIER LUIGI BERSANI BELGIOIOSO,PARTITO DEMOCRATICO,885,,
BELGIOIOSO,,SINISTRA ECOLOGIA LIBERTA',40,,
BELGIOIOSO,,CENTRO DEMOCRATICO,35,,
BELGIOIOSO,,MODERATI,3,,
BELGIOIOSO,SILVIO BERLUSCONI BELGIOIOSO,IL POPOLO DELLA LIBERTA',662,,
BELGIOIOSO,,LEGA NORD,373,,
BELGIOIOSO,,FRATELLI D'ITALIA,61,,
BELGIOIOSO,,PARTITO PENSIONATI,52,,
BELGIOIOSO,,BASTA TASSE,21,,
BELGIOIOSO,,LA DESTRA,8,,
BELGIOIOSO,,MIR - MODERATI IN RIVOLUZIONE,3,,
BELGIOIOSO,GIUSEPPE PIERO GRILLO BELGIOIOSO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,594,,
BELGIOIOSO,MARIO MONTI BELGIOIOSO,CON MONTI PER L'ITALIA,298,,
BELGIOIOSO,ANTONIO INGROIA BELGIOIOSO,RIVOLUZIONE CIVILE,23,,
BELGIOIOSO,OSCAR FULVIO GIANNINO BELGIOIOSO,FARE PER FERMARE IL DECLINO,32,,
BELGIOIOSO,MARCO FERRANDO BELGIOIOSO,PARTITO COMUNISTA DEI LAVORATORI,14,,
BELGIOIOSO,ROBERTO FIORE BELGIOIOSO,FORZA NUOVA,16,,
BELGIOIOSO,GIACINTO MARCO PANNELLA BELGIOIOSO,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
BELGIOIOSO,LUCA ROMAGNOLI BELGIOIOSO,FIAMMA TRICOLORE,5,,
BELGIOIOSO,MAGDI CRISTIANO ALLAM BELGIOIOSO,IO AMO L'ITALIA,0,,
BELGIOIOSO,SIMONE DI STEFANO BELGIOIOSO,CASAPOUND ITALIA,6,,
