Ente,Liste/Gruppi,Voti,,
FIERA DI PRIMIERO,FARE PER FERMARE IL DECLINO,3,,
FIERA DI PRIMIERO,RIVOLUZIONE CIVILE,1,,
FIEROZZO,SVP - PATT - PD - UPT,116,,
FIEROZZO,IL POPOLO DELLA LIBERTA' - LEGA NORD,102,,
FIEROZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,26,,
FIEROZZO,FARE PER FERMARE IL DECLINO,1,,
FIEROZZO,MIR - MODERATI IN RIVOLUZIONE,0,,
FIEROZZO,RIVOLUZIONE CIVILE,0,,
FORNACE,SVP - PATT - PD - UPT,292,,
FORNACE,IL POPOLO DELLA LIBERTA' - LEGA NORD,207,,
FORNACE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,117,,
FORNACE,RIVOLUZIONE CIVILE,11,,
FORNACE,MIR - MODERATI IN RIVOLUZIONE,10,,
FORNACE,FARE PER FERMARE IL DECLINO,7,,
FRASSILONGO,SVP - PATT - PD - UPT,60,,
FRASSILONGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,51,,
FRASSILONGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
FRASSILONGO,RIVOLUZIONE CIVILE,2,,
FRASSILONGO,MIR - MODERATI IN RIVOLUZIONE,1,,
FRASSILONGO,FARE PER FERMARE IL DECLINO,0,,
GRIGNO,SVP - PATT - PD - UPT,471,,
GRIGNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,367,,
GRIGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,262,,
GRIGNO,FARE PER FERMARE IL DECLINO,21,,
GRIGNO,RIVOLUZIONE CIVILE,19,,
GRIGNO,MIR - MODERATI IN RIVOLUZIONE,13,,
IMER,SVP - PATT - PD - UPT,276,,
IMER,IL POPOLO DELLA LIBERTA' - LEGA NORD,184,,
IMER,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,136,,
IMER,FARE PER FERMARE IL DECLINO,19,,
IMER,RIVOLUZIONE CIVILE,8,,
IMER,MIR - MODERATI IN RIVOLUZIONE,7,,
IVANO-FRACENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,66,,
IVANO-FRACENA,SVP - PATT - PD - UPT,63,,
IVANO-FRACENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,23,,
IVANO-FRACENA,FARE PER FERMARE IL DECLINO,4,,
IVANO-FRACENA,RIVOLUZIONE CIVILE,2,,
