Ente,Candidato,Liste/Gruppi,Voti lista,,
CANTALICE,SILVIO BERLUSCONI CANTALICE,IL POPOLO DELLA LIBERTA',333,,
CANTALICE,,FRATELLI D'ITALIA,49,,
CANTALICE,,LA DESTRA,38,,
CANTALICE,,LEGA NORD,1,,
CANTALICE,,MIR - MODERATI IN RIVOLUZIONE,0,,
CANTALICE,,INTESA POPOLARE,0,,
CANTALICE,GIUSEPPE PIERO GRILLO CANTALICE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,443,,
CANTALICE,MARIO MONTI CANTALICE,SCELTA CIVICA CON MONTI PER L'ITALIA,94,,
CANTALICE,,UNIONE DI CENTRO,31,,
CANTALICE,,FUTURO E LIBERTA',3,,
CANTALICE,ANTONIO INGROIA CANTALICE,RIVOLUZIONE CIVILE,61,,
CANTALICE,OSCAR FULVIO GIANNINO CANTALICE,FARE PER FERMARE IL DECLINO,7,,
CANTALICE,MARCO FERRANDO CANTALICE,PARTITO COMUNISTA DEI LAVORATORI,12,,
CANTALICE,ROBERTO FIORE CANTALICE,FORZA NUOVA,6,,
CANTALICE,SIMONE DI STEFANO CANTALICE,CASAPOUND ITALIA,4,,
CANTALICE,LUCA ROMAGNOLI CANTALICE,FIAMMA TRICOLORE,5,,
CANTALICE,ANTONIO CORSI CANTALICE,TUTTI INSIEME PER L'ITALIA,3,,
CANTALICE,CARLA CORSETTI CANTALICE,DEMOCRAZIA ATEA,4,,
CANTALUPO IN SABINA,PIER LUIGI BERSANI CANTALUPO IN SABINA,PARTITO DEMOCRATICO,356,,
CANTALUPO IN SABINA,,SINISTRA ECOLOGIA LIBERTA',41,,
CANTALUPO IN SABINA,,CENTRO DEMOCRATICO,1,,
CANTALUPO IN SABINA,SILVIO BERLUSCONI CANTALUPO IN SABINA,IL POPOLO DELLA LIBERTA',204,,
CANTALUPO IN SABINA,,FRATELLI D'ITALIA,19,,
CANTALUPO IN SABINA,,LA DESTRA,16,,
