Ente,Liste/Gruppi,Voti,,
GAIS,IL POPOLO DELLA LIBERTA' - LEGA NORD,18,,
GAIS,L'ALTO ADIGE NEL CUORE,1,,
GAIS,LA DESTRA,1,,
GAIS,RIVOLUZIONE CIVILE,1,,
LA VALLE,SVP,503,,
LA VALLE,DIE FREIHEITLICHEN,79,,
LA VALLE,VERDI - GRUNE - VERC,40,,
LA VALLE,PARTITO DEMOCRATICO,30,,
LA VALLE,IL POPOLO DELLA LIBERTA' - LEGA NORD,25,,
LA VALLE,SCELTA CIVICA CON MONTI PER L'ITALIA,18,,
LA VALLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
LA VALLE,RIVOLUZIONE CIVILE,3,,
LA VALLE,LA DESTRA,1,,
LA VALLE,L'ALTO ADIGE NEL CUORE,0,,
LAION,SVP,905,,
LAION,DIE FREIHEITLICHEN,305,,
LAION,VERDI - GRUNE - VERC,65,,
LAION,PARTITO DEMOCRATICO,44,,
LAION,IL POPOLO DELLA LIBERTA' - LEGA NORD,32,,
LAION,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,32,,
LAION,SCELTA CIVICA CON MONTI PER L'ITALIA,24,,
LAION,RIVOLUZIONE CIVILE,2,,
LAION,L'ALTO ADIGE NEL CUORE,1,,
LAION,LA DESTRA,1,,
LUSON,SVP,505,,
LUSON,DIE FREIHEITLICHEN,208,,
LUSON,VERDI - GRUNE - VERC,39,,
LUSON,SCELTA CIVICA CON MONTI PER L'ITALIA,15,,
LUSON,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,15,,
LUSON,PARTITO DEMOCRATICO,12,,
LUSON,IL POPOLO DELLA LIBERTA' - LEGA NORD,9,,
LUSON,L'ALTO ADIGE NEL CUORE,1,,
LUSON,RIVOLUZIONE CIVILE,1,,
LUSON,LA DESTRA,0,,
MAREBBE,SVP,908,,
MAREBBE,DIE FREIHEITLICHEN,188,,
MAREBBE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,109,,
MAREBBE,VERDI - GRUNE - VERC,98,,
MAREBBE,PARTITO DEMOCRATICO,97,,
MAREBBE,SCELTA CIVICA CON MONTI PER L'ITALIA,70,,
MAREBBE,IL POPOLO DELLA LIBERTA' - LEGA NORD,58,,
MAREBBE,RIVOLUZIONE CIVILE,11,,
MAREBBE,LA DESTRA,1,,
MAREBBE,L'ALTO ADIGE NEL CUORE,0,,
MONGUELFO-TESIDO,SVP,824,,
MONGUELFO-TESIDO,DIE FREIHEITLICHEN,366,,
MONGUELFO-TESIDO,VERDI - GRUNE - VERC,101,,
MONGUELFO-TESIDO,PARTITO DEMOCRATICO,55,,
MONGUELFO-TESIDO,SCELTA CIVICA CON MONTI PER L'ITALIA,52,,
MONGUELFO-TESIDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,35,,
MONGUELFO-TESIDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
MONGUELFO-TESIDO,RIVOLUZIONE CIVILE,5,,
MONGUELFO-TESIDO,LA DESTRA,1,,
MONGUELFO-TESIDO,L'ALTO ADIGE NEL CUORE,0,,
NAZ-SCIAVES,SVP,761,,
NAZ-SCIAVES,DIE FREIHEITLICHEN,482,,
NAZ-SCIAVES,VERDI - GRUNE - VERC,158,,
NAZ-SCIAVES,SCELTA CIVICA CON MONTI PER L'ITALIA,50,,
NAZ-SCIAVES,IL POPOLO DELLA LIBERTA' - LEGA NORD,46,,
NAZ-SCIAVES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,34,,
NAZ-SCIAVES,PARTITO DEMOCRATICO,33,,
NAZ-SCIAVES,LA DESTRA,4,,
NAZ-SCIAVES,L'ALTO ADIGE NEL CUORE,3,,
NAZ-SCIAVES,RIVOLUZIONE CIVILE,3,,
NOVA LEVANTE,SVP,589,,
NOVA LEVANTE,DIE FREIHEITLICHEN,235,,
NOVA LEVANTE,VERDI - GRUNE - VERC,65,,
NOVA LEVANTE,PARTITO DEMOCRATICO,43,,
NOVA LEVANTE,SCELTA CIVICA CON MONTI PER L'ITALIA,28,,
NOVA LEVANTE,IL POPOLO DELLA LIBERTA' - LEGA NORD,25,,
NOVA LEVANTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,22,,
NOVA LEVANTE,L'ALTO ADIGE NEL CUORE,3,,
NOVA LEVANTE,RIVOLUZIONE CIVILE,1,,
NOVA LEVANTE,LA DESTRA,0,,
NOVA PONENTE,SVP,1373,,
NOVA PONENTE,DIE FREIHEITLICHEN,385,,
NOVA PONENTE,VERDI - GRUNE - VERC,124,,
NOVA PONENTE,PARTITO DEMOCRATICO,67,,
NOVA PONENTE,SCELTA CIVICA CON MONTI PER L'ITALIA,55,,
NOVA PONENTE,IL POPOLO DELLA LIBERTA' - LEGA NORD,37,,
NOVA PONENTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,25,,
NOVA PONENTE,RIVOLUZIONE CIVILE,7,,
NOVA PONENTE,LA DESTRA,2,,
NOVA PONENTE,L'ALTO ADIGE NEL CUORE,1,,
ORTISEI,SVP,1197,,
ORTISEI,DIE FREIHEITLICHEN,330,,
ORTISEI,VERDI - GRUNE - VERC,327,,
ORTISEI,IL POPOLO DELLA LIBERTA' - LEGA NORD,180,,
ORTISEI,SCELTA CIVICA CON MONTI PER L'ITALIA,148,,
ORTISEI,PARTITO DEMOCRATICO,141,,
ORTISEI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,140,,
ORTISEI,RIVOLUZIONE CIVILE,11,,
ORTISEI,L'ALTO ADIGE NEL CUORE,4,,
ORTISEI,LA DESTRA,4,,
PERCA,SVP,499,,
PERCA,DIE FREIHEITLICHEN,211,,
