Ente,Liste/Gruppi,Voti,,
NALLES,RIVOLUZIONE CIVILE,8,,
NALLES,L'ALTO ADIGE NEL CUORE,3,,
NALLES,LA DESTRA,2,,
NATURNO,SVP,1721,,
NATURNO,DIE FREIHEITLICHEN,611,,
NATURNO,VERDI - GRUNE - VERC,247,,
NATURNO,PARTITO DEMOCRATICO,81,,
NATURNO,SCELTA CIVICA CON MONTI PER L'ITALIA,64,,
NATURNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,63,,
NATURNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,58,,
NATURNO,RIVOLUZIONE CIVILE,26,,
NATURNO,L'ALTO ADIGE NEL CUORE,3,,
NATURNO,LA DESTRA,2,,
PARCINES,SVP,1082,,
PARCINES,DIE FREIHEITLICHEN,550,,
PARCINES,VERDI - GRUNE - VERC,131,,
PARCINES,PARTITO DEMOCRATICO,54,,
PARCINES,IL POPOLO DELLA LIBERTA' - LEGA NORD,47,,
PARCINES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,43,,
PARCINES,SCELTA CIVICA CON MONTI PER L'ITALIA,41,,
PARCINES,RIVOLUZIONE CIVILE,4,,
PARCINES,L'ALTO ADIGE NEL CUORE,3,,
PARCINES,LA DESTRA,3,,
PLAUS,SVP,193,,
PLAUS,DIE FREIHEITLICHEN,80,,
PLAUS,VERDI - GRUNE - VERC,21,,
PLAUS,PARTITO DEMOCRATICO,9,,
PLAUS,SCELTA CIVICA CON MONTI PER L'ITALIA,7,,
PLAUS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,7,,
PLAUS,IL POPOLO DELLA LIBERTA' - LEGA NORD,6,,
PLAUS,RIVOLUZIONE CIVILE,2,,
PLAUS,L'ALTO ADIGE NEL CUORE,1,,
PLAUS,LA DESTRA,0,,
POSTAL,SVP,465,,
POSTAL,DIE FREIHEITLICHEN,169,,
POSTAL,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,84,,
POSTAL,VERDI - GRUNE - VERC,78,,
POSTAL,IL POPOLO DELLA LIBERTA' - LEGA NORD,76,,
POSTAL,SCELTA CIVICA CON MONTI PER L'ITALIA,75,,
POSTAL,PARTITO DEMOCRATICO,54,,
POSTAL,RIVOLUZIONE CIVILE,15,,
POSTAL,L'ALTO ADIGE NEL CUORE,6,,
POSTAL,LA DESTRA,6,,
PRATO ALLO STELVIO,SVP,1112,,
PRATO ALLO STELVIO,DIE FREIHEITLICHEN,355,,
PRATO ALLO STELVIO,VERDI - GRUNE - VERC,154,,
PRATO ALLO STELVIO,PARTITO DEMOCRATICO,47,,
PRATO ALLO STELVIO,IL POPOLO DELLA LIBERTA' - LEGA NORD,31,,
PRATO ALLO STELVIO,SCELTA CIVICA CON MONTI PER L'ITALIA,30,,
PRATO ALLO STELVIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,19,,
PRATO ALLO STELVIO,RIVOLUZIONE CIVILE,10,,
PRATO ALLO STELVIO,LA DESTRA,5,,
PRATO ALLO STELVIO,L'ALTO ADIGE NEL CUORE,1,,
PROVES,SVP,113,,
PROVES,DIE FREIHEITLICHEN,20,,
PROVES,IL POPOLO DELLA LIBERTA' - LEGA NORD,4,,
PROVES,VERDI - GRUNE - VERC,3,,
PROVES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3,,
PROVES,SCELTA CIVICA CON MONTI PER L'ITALIA,2,,
PROVES,PARTITO DEMOCRATICO,1,,
PROVES,L'ALTO ADIGE NEL CUORE,0,,
PROVES,LA DESTRA,0,,
PROVES,RIVOLUZIONE CIVILE,0,,
RIFIANO,SVP,481,,
RIFIANO,DIE FREIHEITLICHEN,159,,
RIFIANO,VERDI - GRUNE - VERC,64,,
RIFIANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,14,,
RIFIANO,PARTITO DEMOCRATICO,12,,
RIFIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,11,,
RIFIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,10,,
RIFIANO,RIVOLUZIONE CIVILE,6,,
RIFIANO,L'ALTO ADIGE NEL CUORE,0,,
RIFIANO,LA DESTRA,0,,
SAN GENESIO ATESINO,SVP,1153,,
SAN GENESIO ATESINO,DIE FREIHEITLICHEN,280,,
SAN GENESIO ATESINO,VERDI - GRUNE - VERC,87,,
SAN GENESIO ATESINO,PARTITO DEMOCRATICO,60,,
SAN GENESIO ATESINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,31,,
SAN GENESIO ATESINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,27,,
SAN GENESIO ATESINO,SCELTA CIVICA CON MONTI PER L'ITALIA,25,,
SAN GENESIO ATESINO,RIVOLUZIONE CIVILE,5,,
SAN GENESIO ATESINO,LA DESTRA,3,,
SAN GENESIO ATESINO,L'ALTO ADIGE NEL CUORE,2,,
SAN LEONARDO IN PASSIRIA,SVP,1214,,
SAN LEONARDO IN PASSIRIA,DIE FREIHEITLICHEN,496,,
SAN LEONARDO IN PASSIRIA,VERDI - GRUNE - VERC,99,,
SAN LEONARDO IN PASSIRIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,34,,
SAN LEONARDO IN PASSIRIA,SCELTA CIVICA CON MONTI PER L'ITALIA,23,,
SAN LEONARDO IN PASSIRIA,PARTITO DEMOCRATICO,21,,
SAN LEONARDO IN PASSIRIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,15,,
SAN LEONARDO IN PASSIRIA,RIVOLUZIONE CIVILE,9,,
SAN LEONARDO IN PASSIRIA,L'ALTO ADIGE NEL CUORE,3,,
SAN LEONARDO IN PASSIRIA,LA DESTRA,1,,
SAN MARTINO IN PASSIRIA,SVP,977,,
SAN MARTINO IN PASSIRIA,DIE FREIHEITLICHEN,461,,
SAN MARTINO IN PASSIRIA,VERDI - GRUNE - VERC,85,,
SAN MARTINO IN PASSIRIA,PARTITO DEMOCRATICO,22,,
SAN MARTINO IN PASSIRIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,20,,
SAN MARTINO IN PASSIRIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,17,,
SAN MARTINO IN PASSIRIA,SCELTA CIVICA CON MONTI PER L'ITALIA,15,,
SAN MARTINO IN PASSIRIA,RIVOLUZIONE CIVILE,7,,
SAN MARTINO IN PASSIRIA,LA DESTRA,2,,
SAN MARTINO IN PASSIRIA,L'ALTO ADIGE NEL CUORE,1,,
SAN PANCRAZIO,SVP,525,,
SAN PANCRAZIO,DIE FREIHEITLICHEN,248,,
SAN PANCRAZIO,VERDI - GRUNE - VERC,52,,
SAN PANCRAZIO,PARTITO DEMOCRATICO,17,,
SAN PANCRAZIO,IL POPOLO DELLA LIBERTA' - LEGA NORD,12,,
SAN PANCRAZIO,SCELTA CIVICA CON MONTI PER L'ITALIA,6,,
SAN PANCRAZIO,L'ALTO ADIGE NEL CUORE,1,,
SAN PANCRAZIO,RIVOLUZIONE CIVILE,1,,
SAN PANCRAZIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1,,
SAN PANCRAZIO,LA DESTRA,0,,
SARENTINO,SVP,2524,,
SARENTINO,DIE FREIHEITLICHEN,925,,
SARENTINO,VERDI - GRUNE - VERC,205,,
SARENTINO,PARTITO DEMOCRATICO,87,,
SARENTINO,SCELTA CIVICA CON MONTI PER L'ITALIA,83,,
SARENTINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,47,,
SARENTINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,27,,
SARENTINO,LA DESTRA,4,,
SARENTINO,L'ALTO ADIGE NEL CUORE,2,,
SARENTINO,RIVOLUZIONE CIVILE,2,,
SCENA,SVP,942,,
SCENA,DIE FREIHEITLICHEN,360,,
SCENA,VERDI - GRUNE - VERC,107,,
SCENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,41,,
SCENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,27,,
SCENA,PARTITO DEMOCRATICO,26,,
SCENA,SCELTA CIVICA CON MONTI PER L'ITALIA,23,,
SCENA,L'ALTO ADIGE NEL CUORE,2,,
SCENA,RIVOLUZIONE CIVILE,2,,
SCENA,LA DESTRA,0,,
SENALE-SAN FELICE,SVP,276,,
SENALE-SAN FELICE,DIE FREIHEITLICHEN,92,,
SENALE-SAN FELICE,VERDI - GRUNE - VERC,23,,
SENALE-SAN FELICE,IL POPOLO DELLA LIBERTA' - LEGA NORD,10,,
SENALE-SAN FELICE,SCELTA CIVICA CON MONTI PER L'ITALIA,9,,
SENALE-SAN FELICE,PARTITO DEMOCRATICO,5,,
SENALE-SAN FELICE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3,,
SENALE-SAN FELICE,RIVOLUZIONE CIVILE,1,,
SENALE-SAN FELICE,L'ALTO ADIGE NEL CUORE,0,,
SENALE-SAN FELICE,LA DESTRA,0,,
SENALES,SVP,591,,
SENALES,DIE FREIHEITLICHEN,103,,
SENALES,VERDI - GRUNE - VERC,24,,
SENALES,IL POPOLO DELLA LIBERTA' - LEGA NORD,12,,
SENALES,SCELTA CIVICA CON MONTI PER L'ITALIA,10,,
SENALES,PARTITO DEMOCRATICO,9,,
SENALES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5,,
SENALES,L'ALTO ADIGE NEL CUORE,1,,
SENALES,RIVOLUZIONE CIVILE,1,,
SENALES,LA DESTRA,0,,
SILANDRO,SVP,1858,,
SILANDRO,DIE FREIHEITLICHEN,652,,
SILANDRO,VERDI - GRUNE - VERC,321,,
SILANDRO,PARTITO DEMOCRATICO,114,,
SILANDRO,SCELTA CIVICA CON MONTI PER L'ITALIA,77,,
SILANDRO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,72,,
SILANDRO,IL POPOLO DELLA LIBERTA' - LEGA NORD,63,,
SILANDRO,RIVOLUZIONE CIVILE,15,,
SILANDRO,L'ALTO ADIGE NEL CUORE,7,,
SILANDRO,LA DESTRA,3,,
SLUDERNO,SVP,608,,
SLUDERNO,DIE FREIHEITLICHEN,197,,
SLUDERNO,VERDI - GRUNE - VERC,84,,
SLUDERNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
SLUDERNO,PARTITO DEMOCRATICO,13,,
SLUDERNO,SCELTA CIVICA CON MONTI PER L'ITALIA,12,,
SLUDERNO,IL POPOLO DELLA LIBERTA' - LEGA NORD,11,,
SLUDERNO,RIVOLUZIONE CIVILE,7,,
SLUDERNO,LA DESTRA,2,,
SLUDERNO,L'ALTO ADIGE NEL CUORE,0,,
STELVIO,SVP,376,,
STELVIO,DIE FREIHEITLICHEN,125,,
STELVIO,VERDI - GRUNE - VERC,35,,
STELVIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16,,
STELVIO,PARTITO DEMOCRATICO,9,,
STELVIO,SCELTA CIVICA CON MONTI PER L'ITALIA,9,,
STELVIO,IL POPOLO DELLA LIBERTA' - LEGA NORD,6,,
STELVIO,L'ALTO ADIGE NEL CUORE,1,,
STELVIO,RIVOLUZIONE CIVILE,1,,
STELVIO,LA DESTRA,0,,
TERLANO,SVP,1241,,
TERLANO,DIE FREIHEITLICHEN,366,,
TERLANO,VERDI - GRUNE - VERC,167,,
TERLANO,PARTITO DEMOCRATICO,147,,
TERLANO,SCELTA CIVICA CON MONTI PER L'ITALIA,133,,
TERLANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,128,,
TERLANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,126,,
TERLANO,RIVOLUZIONE CIVILE,17,,
TERLANO,L'ALTO ADIGE NEL CUORE,14,,
TERLANO,LA DESTRA,2,,
TESIMO,SVP,637,,
TESIMO,DIE FREIHEITLICHEN,282,,
TESIMO,VERDI - GRUNE - VERC,61,,
TESIMO,SCELTA CIVICA CON MONTI PER L'ITALIA,24,,
TESIMO,PARTITO DEMOCRATICO,22,,
TESIMO,IL POPOLO DELLA LIBERTA' - LEGA NORD,20,,
TESIMO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,14,,
TESIMO,RIVOLUZIONE CIVILE,7,,
TESIMO,L'ALTO ADIGE NEL CUORE,3,,
TESIMO,LA DESTRA,0,,
TIROLO,SVP,897,,
TIROLO,DIE FREIHEITLICHEN,250,,
TIROLO,VERDI - GRUNE - VERC,104,,
TIROLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,28,,
TIROLO,PARTITO DEMOCRATICO,25,,
TIROLO,IL POPOLO DELLA LIBERTA' - LEGA NORD,22,,
TIROLO,SCELTA CIVICA CON MONTI PER L'ITALIA,19,,
TIROLO,RIVOLUZIONE CIVILE,4,,
TIROLO,L'ALTO ADIGE NEL CUORE,1,,
TIROLO,LA DESTRA,0,,
TUBRE,SVP,348,,
TUBRE,DIE FREIHEITLICHEN,98,,
TUBRE,VERDI - GRUNE - VERC,30,,
TUBRE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,9,,
TUBRE,PARTITO DEMOCRATICO,7,,
TUBRE,SCELTA CIVICA CON MONTI PER L'ITALIA,6,,
TUBRE,IL POPOLO DELLA LIBERTA' - LEGA NORD,5,,
TUBRE,RIVOLUZIONE CIVILE,1,,
TUBRE,L'ALTO ADIGE NEL CUORE,0,,
TUBRE,LA DESTRA,0,,
ULTIMO,SVP,976,,
ULTIMO,DIE FREIHEITLICHEN,445,,
ULTIMO,VERDI - GRUNE - VERC,78,,
ULTIMO,PARTITO DEMOCRATICO,16,,
ULTIMO,IL POPOLO DELLA LIBERTA' - LEGA NORD,13,,
ULTIMO,SCELTA CIVICA CON MONTI PER L'ITALIA,11,,
ULTIMO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5,,
ULTIMO,RIVOLUZIONE CIVILE,4,,
ULTIMO,L'ALTO ADIGE NEL CUORE,3,,
ULTIMO,LA DESTRA,2,,
VERANO,SVP,360,,
VERANO,DIE FREIHEITLICHEN,79,,
VERANO,VERDI - GRUNE - VERC,44,,
VERANO,PARTITO DEMOCRATICO,12,,
VERANO,SCELTA CIVICA CON MONTI PER L'ITALIA,5,,
VERANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,5,,
VERANO,RIVOLUZIONE CIVILE,4,,
VERANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,3,,
VERANO,L'ALTO ADIGE NEL CUORE,0,,
VERANO,LA DESTRA,0,,
